color,l,a,b,parent
浅嫩绿,81,-25.5,38.5,绿
浅嫩黄,94,-11,28,白
浅月灰,74,-4,5,白
浅杏灰,63,6,12,绿
浅杏色,65,20,27,流黄
浅杏黄,88,5,50,黄
浅松绿,76.363,-13.945,-0.072,碧
浅果绿,83.5,-13,12,白
浅桔红,70,36,37,赤
浅桔黄,73.674,7.445,23.739,白
浅棕,58.7,11.05,17.1,流黄
浅棕灰,86.02,-1.126,11.221,白
浅水绿,89.526,-10.324,-0.193,白
浅波根红,82,21,4,白
浅海昌蓝,42.775,7.949,-27.923,紫
浅湖灰,64,-10,3,碧
浅湖绿,86,-14.5,5,白
浅灰绿,71.57841164,-0.456738724,18.41555524,白
浅玉,88,3,17.5,白
浅玉色,88.5,5,20,白
浅玫瑰,49,41,-3,紫
浅瓜皮绿,78,-24,28,绿
浅石英紫,65.458,16.057,-22.914,紫
浅碧青,65,-21,-14,碧
浅米黄,73,3,19,白
浅粉,90.664,5.882,-3.777,白
浅粉兰,84,-3,-2,白
浅糙米黄,84,6,37,黄
浅红,69,41.5,11,红
浅红棕,66,19,27,流黄
浅红莲,60,39,-8,紫
浅翠兰,72,-27,-17.5,碧
浅肉,74,10,16,白
浅肉粉,84.608,8.922,17.067,白
浅芍药红,72,30,3,红
浅芍药绯红,61,38,-9,紫
浅芽绿,83,-6,19,白
浅茄花紫,62,42,-4,红
浅茜红,70.5,41.5,23,红
浅草灰,62,-3,15,绿
浅草绿,76.249,-20.2395,53.698,黄
浅草黄,73,4,38,黄
浅荠菜绿,50,-12,6,绿
浅蔚蓝,73,-21,-13,碧
浅藤紫,78.786,2.466,-6.492,白
浅蜜,99,-3,22,白
浅蜜黄,94,-3,26,白
浅豆沙,70,6,12,白
浅豆灰,59,6,6,青
浅豆绿,59,-11,21,绿
浅豆黄,75,7,28,黄
浅铬黄,78.21602878,8.952211239,73.44079879,黄
浅雪灰,79,11,4,白
浅雪酱,56,40,-13,紫
浅青兰,52,-10,-23,青
浅青瓷釉色,87.03,-7.382,3.554,白
浅韭黄,80,-20,53,黄
浅驼色,76.94894737,4.435896181,24.82730245,白
浅驼黄,60,23,43,流黄
浅鲜绿,87.003,-16.213,0.173,白
浅鹅黄,92,-9,62,黄
浅黄棕,71.601,14.695,38.317,黄
浪花绿,72.61220573,-10.62915612,-0.401628903,碧
浮萍绿,45.48871458,-25.28456699,19.82933216,绿
海军蓝,40.32287145,-0.057951334,-25.24041201,青
