color,from,l,a,b
蘋婆绿,染色样本纳夫妥类_何进丰,32.0,-22.0,-8.0
上青,染色样本纳夫妥类_何进丰,23.0,2.0,-15.0
浅蓝,染色样本纳夫妥类_何进丰,46.0,-5.0,-30.0
深蓝,染色样本纳夫妥类_何进丰,28.0,2.0,-26.0
中蓝,染色样本纳夫妥类_何进丰,38.0,-2.0,-32.0
雪青,染色样本纳夫妥类_何进丰,35.0,22.0,-29.0
浅雪青,染色样本纳夫妥类_何进丰,51.0,18.0,-25.0
金黄,染色样本纳夫妥类_何进丰,57.0,54.0,60.0
元色,染色样本纳夫妥类_何进丰,20.0,-3.0,-1.0
浅杏灰,染色样本纳夫妥类_何进丰,63.0,6.0,12.0
枣褐,染色样本硫化类_何进丰,33.0,11.0,12.0
红豆沙,染色样本硫化类_何进丰,56.0,12.0,11.0
豆沙,染色样本硫化类_何进丰,61.0,10.0,12.0
杏黄,染色样本硫化类_何进丰,59.0,10.0,24.0
淡驼,染色样本硫化类_何进丰,70.0,5.0,14.0
中绿,染色样本硫化类_何进丰,36.0,-10.0,-2.0
深墨绿,染色样本硫化类_何进丰,28.0,-9.0,-4.0
墨绿,染色样本硫化类_何进丰,27.0,-7.0,-6.0
深墨绿,染色样本硫化类_何进丰,25.0,-7.0,-3.0
蟹青,染色样本硫化类_何进丰,66.0,-1.0,10.0
虾青,染色样本硫化类_何进丰,63.0,-1.0,-6.0
上青,染色样本硫化类_何进丰,24.0,1.0,-13.0
紫铜,染色样本硫化类_何进丰,32.0,8.0,11.0
深灰,染色样本硫化类_何进丰,34.0,-2.0,-5.0
老灰,染色样本硫化类_何进丰,51.0,-1.0,-6.0
杏灰,染色样本硫化类_何进丰,68.0,6.0,14.0
枣褐,人造丝绸缎色谱_何进丰,43.0,7.0,9.0
芒果棕,人造丝绸缎色谱_何进丰,52.0,21.0,30.0
丁香棕,人造丝绸缎色谱_何进丰,57.0,11.0,18.0
凋叶棕,人造丝绸缎色谱_何进丰,67.0,23.0,28.0
浅咖啡,人造丝绸缎色谱_何进丰,50.0,8.0,10.0
中石蕊红,人造丝绸缎色谱_何进丰,73.0,16.0,-1.0
石蕊红,人造丝绸缎色谱_何进丰,76.0,17.0,7.0
淡曙红,人造丝绸缎色谱_何进丰,48.0,57.0,20.0
芍药绯红,人造丝绸缎色谱_何进丰,59.0,36.0,-4.0
丹紫红,人造丝绸缎色谱_何进丰,60.0,46.0,1.0
丽春红,人造丝绸缎色谱_何进丰,43.0,45.0,23.0
秋海棠红,人造丝绸缎色谱_何进丰,46.0,57.0,31.0
中红灰,人造丝绸缎色谱_何进丰,66.0,5.0,10.0
浅芍药绯红,人造丝绸缎色谱_何进丰,61.0,38.0,-9.0
深芍药绯红,人造丝绸缎色谱_何进丰,48.0,52.0,-11.0
月月红,人造丝绸缎色谱_何进丰,47.0,52.0,5.0
牙色,人造丝绸缎色谱_何进丰,70.0,3.0,15.0
蝶黄,人造丝绸缎色谱_何进丰,80.0,-5.0,58.0
葵扇黄,人造丝绸缎色谱_何进丰,72.0,3.0,23.0
淡茧黄,人造丝绸缎色谱_何进丰,78.0,10.0,39.0
雅梨黄,人造丝绸缎色谱_何进丰,79.0,15.0,34.0
金叶黄,人造丝绸缎色谱_何进丰,70.0,35.0,54.0
金莺黄,人造丝绸缎色谱_何进丰,63.0,23.0,28.0
玳瑁黄,人造丝绸缎色谱_何进丰,64.0,18.0,27.0
万寿菊黄,人造丝绸缎色谱_何进丰,69.0,36.0,64.0
中灰驼,人造丝绸缎色谱_何进丰,58.0,2.0,9.0
金驼,人造丝绸缎色谱_何进丰,50.0,8.0,17.0
硫化黄,人造丝绸缎色谱_何进丰,80.0,3.0,44.0
韮牙黄,人造丝绸缎色谱_何进丰,74.0,-6.0,40.0
深金驼,人造丝绸缎色谱_何进丰,41.0,5.0,16.0
草绿,人造丝绸缎色谱_何进丰,55.0,10.0,25.0
橄榄绿,人造丝绸缎色谱_何进丰,46.0,-11.0,24.0
枯绿,人造丝绸缎色谱_何进丰,75.0,3.0,53.0
荷叶绿,人造丝绸缎色谱_何进丰,45.0,-20.0,-2.0
薄荷绿,人造丝绸缎色谱_何进丰,39.0,-15.0,-1.0
橄榄石绿,人造丝绸缎色谱_何进丰,66.0,-9.0,18.0
橄榄黄绿,人造丝绸缎色谱_何进丰,71.0,-16.0,42.0
碧蝉绿,人造丝绸缎色谱_何进丰,68.0,-8.0,-10.0
海沫绿,人造丝绸缎色谱_何进丰,72.0,-7.0,19.0
豌豆绿,人造丝绸缎色谱_何进丰,60.0,-13.0,20.0
芥菜绿,人造丝绸缎色谱_何进丰,59.0,-12.0,13.0
蛇胆绿,人造丝绸缎色谱_何进丰,52.0,-13.0,14.0
芭蕉绿,人造丝绸缎色谱_何进丰,48.0,-24.0,14.0
淡墨绿,人造丝绸缎色谱_何进丰,41.0,-23.0,6.0
桂花黄绿,人造丝绸缎色谱_何进丰,61.0,-10.0,22.0
元青,人造丝绸缎色谱_何进丰,23.0,-2.0,0.0
上青,人造丝绸缎色谱_何进丰,26.0,-1.0,-15.0
蓝灰,人造丝绸缎色谱_何进丰,47.0,-8.0,-8.0
宝蓝,人造丝绸缎色谱_何进丰,39.0,-3.0,-34.0
燕颔蓝,人造丝绸缎色谱_何进丰,40.0,-3.0,-8.0
暗蓝,人造丝绸缎色谱_何进丰,30.0,-2.0,-8.0
海军蓝,人造丝绸缎色谱_何进丰,33.0,-2.0,-21.0
蝶翅蓝,人造丝绸缎色谱_何进丰,56.0,0.0,-26.0
虹蓝,人造丝绸缎色谱_何进丰,47.0,-2.0,-29.0
中天蓝,人造丝绸缎色谱_何进丰,71.0,-7.0,-6.0
远天蓝,人造丝绸缎色谱_何进丰,70.0,-6.0,-6.0
深灰蓝,人造丝绸缎色谱_何进丰,39.0,-9.0,-9.0
孔雀蓝,人造丝绸缎色谱_何进丰,58.0,-31.0,-22.0
蔚蓝,人造丝绸缎色谱_何进丰,65.0,-26.0,-14.0
晚波蓝,人造丝绸缎色谱_何进丰,72.0,-7.0,2.0
清水蓝,人造丝绸缎色谱_何进丰,72.0,-16.0,-5.0
海天蓝,人造丝绸缎色谱_何进丰,67.0,-8.0,-13.0
中柚蓝,人造丝绸缎色谱_何进丰,56.0,-9.0,-24.0
中晚波兰,人造丝绸缎色谱_何进丰,56.0,-8.0,-6.0
上兰,人造丝绸缎色谱_何进丰,36.0,4.0,-31.0
青莲,人造丝绸缎色谱_何进丰,41.0,28.0,-23.0
玫瑰紫,人造丝绸缎色谱_何进丰,46.0,41.0,-3.0
玫瑰紫,人造丝绸缎色谱_何进丰,40.0,55.0,-4.0
淡牵牛紫,人造丝绸缎色谱_何进丰,75.0,10.0,0.0
满天星紫,人造丝绸缎色谱_何进丰,48.0,15.0,-26.0
山梗紫,人造丝绸缎色谱_何进丰,60.0,7.0,-18.0
茶花紫,人造丝绸缎色谱_何进丰,53.0,27.0,-18.0
红光甲花紫,人造丝绸缎色谱_何进丰,33.0,28.0,-23.0
淡蓝灰,人造丝绸缎色谱_何进丰,43.0,-1.0,-6.0
象牙白,人造丝绸缎色谱_何进丰,87.0,3.0,13.0
雪白,人造丝绸缎色谱_何进丰,87.0,3.0,13.0
鲸鱼灰,人造丝绸缎色谱_何进丰,55.0,-1.0,-4.0
青灰色,人造丝绸缎色谱_何进丰,48.0,-2.0,-7.0
荧光白,人造丝绸缎色谱_何进丰,87.0,3.0,13.0
蝙蝠灰,人造丝绸缎色谱_何进丰,34.0,-3.0,4.0
黄棕,绞丝染色基本色谱_何进丰,60.0,27.0,49.0
浅黄棕,绞丝染色基本色谱_何进丰,71.0,19.0,50.0
麝香褐,绞丝染色基本色谱_何进丰,75.0,19.0,37.0
桃红,绞丝染色基本色谱_何进丰,70.0,44.0,-2.0
石榴红,绞丝染色基本色谱_何进丰,43.0,51.0,31.0
枣红,绞丝染色基本色谱_何进丰,42.0,54.0,26.0
晶红,绞丝染色基本色谱_何进丰,64.0,47.0,16.0
曙红,绞丝染色基本色谱_何进丰,43.0,55.0,23.0
牙妃,绞丝染色基本色谱_何进丰,86.0,12.0,13.0
深牙妃,绞丝染色基本色谱_何进丰,78.0,26.0,14.0
香叶红,绞丝染色基本色谱_何进丰,67.0,44.0,20.0
深香叶红,绞丝染色基本色谱_何进丰,54.0,57.0,16.0
浅波根红,绞丝染色基本色谱_何进丰,82.0,21.0,4.0
波根红,绞丝染色基本色谱_何进丰,77.0,31.0,1.0
深桃红,绞丝染色基本色谱_何进丰,60.0,54.0,2.0
淡芍药红,绞丝染色基本色谱_何进丰,83.0,15.0,8.0
浅芍药红,绞丝染色基本色谱_何进丰,72.0,30.0,3.0
芍药红,绞丝染色基本色谱_何进丰,63.0,36.0,1.0
深芍药红,绞丝染色基本色谱_何进丰,53.0,42.0,-1.0
西红,绞丝染色基本色谱_何进丰,62.0,47.0,21.0
深西红,绞丝染色基本色谱_何进丰,50.0,56.0,27.0
深枣红,绞丝染色基本色谱_何进丰,35.0,47.0,22.0
蔷薇红,绞丝染色基本色谱_何进丰,64.0,49.0,-6.0
深蔷薇红,绞丝染色基本色谱_何进丰,55.0,58.0,-3.0
红莲,绞丝染色基本色谱_何进丰,46.0,44.0,-24.0
深红莲,绞丝染色基本色谱_何进丰,37.0,46.0,-21.0
深玫红,绞丝染色基本色谱_何进丰,37.0,53.0,6.0
玫红,绞丝染色基本色谱_何进丰,44.0,60.0,4.0
深曙红,绞丝染色基本色谱_何进丰,38.0,51.0,21.0
深晶红,绞丝染色基本色谱_何进丰,50.0,56.0,22.0
杏黄,绞丝染色基本色谱_何进丰,88.0,5.0,50.0
桔黄,绞丝染色基本色谱_何进丰,66.0,45.0,42.0
桔红,绞丝染色基本色谱_何进丰,61.0,49.0,37.0
浅桔红,绞丝染色基本色谱_何进丰,70.0,36.0,37.0
深桔红,绞丝染色基本色谱_何进丰,50.0,56.0,36.0
肉色,绞丝染色基本色谱_何进丰,83.0,16.0,29.0
深肉色,绞丝染色基本色谱_何进丰,75.0,31.0,35.0
深桔黄,绞丝染色基本色谱_何进丰,57.0,56.0,49.0
米黄,绞丝染色基本色谱_何进丰,87.0,4.0,34.0
米白,绞丝染色基本色谱_何进丰,87.0,4.0,34.0
枇杷黄,绞丝染色基本色谱_何进丰,75.0,31.0,70.0
深米黄,绞丝染色基本色谱_何进丰,83.0,10.0,45.0
浅糙米黄,绞丝染色基本色谱_何进丰,84.0,6.0,37.0
糙米黄,绞丝染色基本色谱_何进丰,76.0,13.0,42.0
浅驼黄,绞丝染色基本色谱_何进丰,60.0,23.0,43.0
驼黄,绞丝染色基本色谱_何进丰,51.0,24.0,39.0
浅杏黄,绞丝染色基本色谱_何进丰,88.0,5.0,50.0
米棕,绞丝染色基本色谱_何进丰,75.0,19.0,37.0
深米棕,绞丝染色基本色谱_何进丰,66.0,28.0,42.0
虎黄,绞丝染色基本色谱_何进丰,68.0,42.0,70.0
砖黄,绞丝染色基本色谱_何进丰,58.0,35.0,43.0
深砖黄,绞丝染色基本色谱_何进丰,47.0,39.0,39.0
湖色,绞丝染色基本色谱_何进丰,75.0,-28.0,4.0
豆绿,绞丝染色基本色谱_何进丰,47.0,-12.0,18.0
深果绿,绞丝染色基本色谱_何进丰,44.0,-30.0,27.0
果绿,绞丝染色基本色谱_何进丰,56.0,-32.0,32.0
祖母绿,绞丝染色基本色谱_何进丰,55.0,-38.0,3.0
芽绿,绞丝染色基本色谱_何进丰,73.0,-9.0,20.0
瓜皮绿,绞丝染色基本色谱_何进丰,68.0,-30.0,32.0
浅湖绿,绞丝染色基本色谱_何进丰,83.0,-19.0,6.0
深湖绿,绞丝染色基本色谱_何进丰,63.0,-35.0,3.0
浅荠菜绿,绞丝染色基本色谱_何进丰,50.0,-12.0,6.0
荠菜绿,绞丝染色基本色谱_何进丰,41.0,-11.0,5.0
浅芽绿,绞丝染色基本色谱_何进丰,83.0,-6.0,19.0
浅豆绿,绞丝染色基本色谱_何进丰,59.0,-11.0,21.0
浅瓜皮绿,绞丝染色基本色谱_何进丰,78.0,-24.0,28.0
蛋青,绞丝染色基本色谱_何进丰,46.0,-35.0,-21.0
虾青,绞丝染色基本色谱_何进丰,63.0,-11.0,6.0
碧青,绞丝染色基本色谱_何进丰,55.0,-22.0,-18.0
上青,绞丝染色基本色谱_何进丰,23.0,1.0,-18.0
深蛋青,绞丝染色基本色谱_何进丰,35.0,-29.0,-20.0
蚧青,绞丝染色基本色谱_何进丰,42.0,-21.0,-18.0
深蚧青,绞丝染色基本色谱_何进丰,30.0,-17.0,-14.0
深上青,绞丝染色基本色谱_何进丰,22.0,0.0,-13.0
鱼青,绞丝染色基本色谱_何进丰,75.0,-8.0,7.0
海蓝,绞丝染色基本色谱_何进丰,70.0,-27.0,-18.0
品蓝,绞丝染色基本色谱_何进丰,33.0,1.0,-42.0
虹蓝,绞丝染色基本色谱_何进丰,61.0,-10.0,-30.0
孔雀蓝,绞丝染色基本色谱_何进丰,45.0,-28.0,-32.0
上兰,绞丝染色基本色谱_何进丰,31.0,1.0,-28.0
浅天兰,绞丝染色基本色谱_何进丰,78.0,-17.0,-12.0
天兰,绞丝染色基本色谱_何进丰,68.0,-19.0,-25.0
深天兰,绞丝染色基本色谱_何进丰,57.0,-17.0,-34.0
和平兰,绞丝染色基本色谱_何进丰,46.0,-13.0,-40.0
浅湖兰,绞丝染色基本色谱_何进丰,82.0,-15.0,0.0
湖兰,绞丝染色基本色谱_何进丰,74.0,-25.0,-7.0
蝶兰,绞丝染色基本色谱_何进丰,61.0,-30.0,-13.0
深蝶兰,绞丝染色基本色谱_何进丰,49.0,-31.0,-14.0
水兰,绞丝染色基本色谱_何进丰,69.0,-29.0,-13.0
深水兰,绞丝染色基本色谱_何进丰,55.0,-35.0,-20.0
深孔雀兰,绞丝染色基本色谱_何进丰,34.0,-22.0,-29.0
晴天兰,绞丝染色基本色谱_何进丰,70.0,-20.0,-20.0
晚天兰,绞丝染色基本色谱_何进丰,57.0,-21.0,-34.0
深虹兰,绞丝染色基本色谱_何进丰,51.0,-7.0,-37.0
浅品兰,绞丝染色基本色谱_何进丰,40.0,-6.0,-42.0
深上兰,绞丝染色基本色谱_何进丰,25.0,2.0,-24.0
浅碧青,绞丝染色基本色谱_何进丰,65.0,-21.0,-14.0
深月兰,绞丝染色基本色谱_何进丰,35.0,-8.0,-43.0
月兰,绞丝染色基本色谱_何进丰,45.0,-16.0,-43.0
雪青,绞丝染色基本色谱_何进丰,64.0,21.0,-13.0
茄紫,绞丝染色基本色谱_何进丰,46.0,39.0,-30.0
玫瑰紫,绞丝染色基本色谱_何进丰,31.0,40.0,-18.0
浅雪青,绞丝染色基本色谱_何进丰,67.0,19.0,-14.0
浅茄花紫,绞丝染色基本色谱_何进丰,62.0,42.0,-4.0
茄花紫,绞丝染色基本色谱_何进丰,46.0,40.0,-8.0
枣酱,绞丝染色基本色谱_何进丰,33.0,36.0,-6.0
深枣酱,绞丝染色基本色谱_何进丰,27.0,28.0,-2.0
豆花紫,绞丝染色基本色谱_何进丰,55.0,24.0,-19.0
深豆花紫,绞丝染色基本色谱_何进丰,48.0,24.0,-22.0
深玫瑰紫,绞丝染色基本色谱_何进丰,31.0,35.0,-22.0
深茄紫,绞丝染色基本色谱_何进丰,35.0,31.0,-34.0
紫罗兰,绞丝染色基本色谱_何进丰,29.0,28.0,-34.0
深紫罗兰,绞丝染色基本色谱_何进丰,28.0,21.0,-34.0
桃红,钧瓷色彩的特征与分类体系研究_王庆斌,39.2,35.302,17.344
石榴红,钧瓷色彩的特征与分类体系研究_王庆斌,20.191,35.806,14.118
朱砂,钧瓷色彩的特征与分类体系研究_王庆斌,30.425,40.166,17.9
海棠红,钧瓷色彩的特征与分类体系研究_王庆斌,41.424,44.887,30.003
枣红,钧瓷色彩的特征与分类体系研究_王庆斌,23.458,35.529,21.957
胭脂红,钧瓷色彩的特征与分类体系研究_王庆斌,63.934,52.059,25.774
豇豆红,钧瓷色彩的特征与分类体系研究_王庆斌,45.207,53.482,53.901
玫瑰红,钧瓷色彩的特征与分类体系研究_王庆斌,22.058,30.254,13.733
鸡血红,钧瓷色彩的特征与分类体系研究_王庆斌,31.577,33.502,19.861
宝石红,钧瓷色彩的特征与分类体系研究_王庆斌,40.224,60.233,43.086
火焰红,钧瓷色彩的特征与分类体系研究_王庆斌,40.771,59.726,41.579
朝霞红,钧瓷色彩的特征与分类体系研究_王庆斌,23.892,44.028,28.149
栗红,钧瓷色彩的特征与分类体系研究_王庆斌,35.03,46.062,28.279
玛瑙红,钧瓷色彩的特征与分类体系研究_王庆斌,17.014,20.945,14.627
牛血红,钧瓷色彩的特征与分类体系研究_王庆斌,38.528,55.334,42.242
拉丝红,钧瓷色彩的特征与分类体系研究_王庆斌,44.946,63.434,45.19
褐红,钧瓷色彩的特征与分类体系研究_王庆斌,11.783,9.227,7.605
马肺红,钧瓷色彩的特征与分类体系研究_王庆斌,44.215,53.134,28.18
米黄,钧瓷色彩的特征与分类体系研究_王庆斌,60.792,48.197,22.299
青翠,钧瓷色彩的特征与分类体系研究_王庆斌,33.009,-19.376,-1.844
祖母绿,钧瓷色彩的特征与分类体系研究_王庆斌,52.052,-32.968,53.699
孔雀绿,钧瓷色彩的特征与分类体系研究_王庆斌,43.154,-17.829,3.282
苹果绿,钧瓷色彩的特征与分类体系研究_王庆斌,26.774,-17.337,9.049
瓜皮绿,钧瓷色彩的特征与分类体系研究_王庆斌,38.003,-26.793,16.357
茶叶末,钧瓷色彩的特征与分类体系研究_王庆斌,36.617,21.629,36.047
鳝鱼皮,钧瓷色彩的特征与分类体系研究_王庆斌,52.727,-9.224,32.365
香蕉皮,钧瓷色彩的特征与分类体系研究_王庆斌,78.048,-0.362,67.625
月白,钧瓷色彩的特征与分类体系研究_王庆斌,91.097,2.84,9.771
豆青,钧瓷色彩的特征与分类体系研究_王庆斌,46.989,7.293,23.623
天青,钧瓷色彩的特征与分类体系研究_王庆斌,48.17,-9.746,3.601
蟹青,钧瓷色彩的特征与分类体系研究_王庆斌,29.851,10.898,-19.776
虾青,钧瓷色彩的特征与分类体系研究_王庆斌,58.695,-12.845,-3.012
靛青,钧瓷色彩的特征与分类体系研究_王庆斌,37.497,12.223,-44.809
油青,钧瓷色彩的特征与分类体系研究_王庆斌,29.202,1.826,18.591
粉青,钧瓷色彩的特征与分类体系研究_王庆斌,42.983,-17.595,-5.48
天蓝,钧瓷色彩的特征与分类体系研究_王庆斌,44.755,-0.307,-24.89
宝蓝,钧瓷色彩的特征与分类体系研究_王庆斌,29.448,10.509,-26.199
靛蓝,钧瓷色彩的特征与分类体系研究_王庆斌,19.806,13.909,-27.974
藏蓝,钧瓷色彩的特征与分类体系研究_王庆斌,55.814,-12.216,-0.384
孔雀蓝,钧瓷色彩的特征与分类体系研究_王庆斌,24.397,8.276,-26.571
紫蓝,钧瓷色彩的特征与分类体系研究_王庆斌,8.579,22.482,-21.008
丁香紫,钧瓷色彩的特征与分类体系研究_王庆斌,47.837,5.102,-16.999
玫瑰紫,钧瓷色彩的特征与分类体系研究_王庆斌,23.148,4.867,-3.865
葡萄紫,钧瓷色彩的特征与分类体系研究_王庆斌,22.069,4.292,-4.844
茄皮紫,钧瓷色彩的特征与分类体系研究_王庆斌,21.211,18.219,3.101
墨紫,钧瓷色彩的特征与分类体系研究_王庆斌,10.466,25.206,-20.805
罗兰紫,钧瓷色彩的特征与分类体系研究_王庆斌,24.179,41.32,28.284
葛花紫,钧瓷色彩的特征与分类体系研究_王庆斌,20.298,27.57,11.819
红紫,钧瓷色彩的特征与分类体系研究_王庆斌,25.922,7.722,5.734
金黄,钧瓷色彩的特征与分类体系研究_王庆斌,84.768,0.859,59.266
乳白,钧瓷色彩的特征与分类体系研究_王庆斌,83.302,-3.748,-4.095
鱼肚白,钧瓷色彩的特征与分类体系研究_王庆斌,90.72,-4.355,-0.41
鸽灰,钧瓷色彩的特征与分类体系研究_王庆斌,80.733,-4.899,2.803
玉白,钧瓷色彩的特征与分类体系研究_王庆斌,91.722,-1.557,2.191
黑彩,钧瓷色彩的特征与分类体系研究_王庆斌,14.726,1.974,3.707
羽毛灰,钧瓷色彩的特征与分类体系研究_王庆斌,79.411,-3.448,-4.02
赭石,中国美色_中国国家地理,40.453,13.532,23.842
褐色,中国美色_中国国家地理,36.013,8.236,24.323
麂棕,中国美色_中国国家地理,60.448,41.601,56.771
酱色,中国美色_中国国家地理,24.88,5.93,3.477
烟栗色,中国美色_中国国家地理,22.896,7.401,9.019
檀色,中国美色_中国国家地理,50.456,25.782,13.208
妃色,中国美色_中国国家地理,45.972,63.575,43.967
桃红,中国美色_中国国家地理,60.847,50.55,-6.69
银朱,中国美色_中国国家地理,47.749,59.356,32.02
朱砂,中国美色_中国国家地理,52.337,57.315,50.315
茜红,中国美色_中国国家地理,44.726,41.672,31.866
朱,中国美色_中国国家地理,49.314,64.299,41.904
缁色,中国美色_中国国家地理,26.151,8.678,3.947
殷红,中国美色_中国国家地理,38.879,51.526,25.954
枣红,中国美色_中国国家地理,40.373,52.376,24.885
木红,中国美色_中国国家地理,47.586,27.551,24.148
赭色,中国美色_中国国家地理,44.667,41.609,33.042
丹色,中国美色_中国国家地理,56.646,33.718,42.687
绛色,中国美色_中国国家地理,47.0,68.006,47.976
红梅色,中国美色_中国国家地理,68.393,29.622,9.174
朱槿色,中国美色_中国国家地理,50.179,62.444,43.144
海棠红,中国美色_中国国家地理,51.317,46.973,12.192
石榴红,中国美色_中国国家地理,47.143,58.643,28.614
松叶牡丹红,中国美色_中国国家地理,39.668,53.224,26.671
玫瑰红,中国美色_中国国家地理,35.287,50.491,35.043
酡红,中国美色_中国国家地理,48.723,48.847,41.125
朱红,中国美色_中国国家地理,49.411,72.361,30.419
胭脂红,中国美色_中国国家地理,44.347,48.707,29.134
桂红,中国美色_中国国家地理,56.015,52.185,34.417
曙红,中国美色_中国国家地理,45.871,47.236,46.53
杨梅花红,中国美色_中国国家地理,42.329,61.82,31.714
杏红,中国美色_中国国家地理,63.606,36.623,49.747
绾,中国美色_中国国家地理,54.542,14.561,8.618
嫣红,中国美色_中国国家地理,59.824,41.763,11.648
杏黄,中国美色_中国国家地理,68.169,28.243,57.796
杏黄,中国美色_中国国家地理,69.251,26.622,56.222
雄黄,中国美色_中国国家地理,71.167,8.571,60.913
雄黄,中国美色_中国国家地理,68.868,26.655,63.421
藕荷,中国美色_中国国家地理,78.11,10.869,-3.539
牙色,中国美色_中国国家地理,83.197,1.602,19.437
黄色,中国美色_中国国家地理,85.668,0.052,52.861
米黄,中国美色_中国国家地理,92.568,-0.89,5.192
米白,中国美色_中国国家地理,92.568,-0.89,5.192
青黄,中国美色_中国国家地理,88.856,-6.405,54.447
柳黄,中国美色_中国国家地理,76.629,-16.275,64.121
鹅黄,中国美色_中国国家地理,77.401,10.484,79.833
明黄,中国美色_中国国家地理,88.57,-3.148,72.379
驼色,中国美色_中国国家地理,56.963,16.383,-16.871
藤黄,中国美色_中国国家地理,74.943,18.118,51.345
秋香色,中国美色_中国国家地理,68.682,5.265,60.251
姜黄,中国美色_中国国家地理,54.5,5.794,39.542
栀子黄,中国美色_中国国家地理,83.539,5.048,57.451
琥珀黄,中国美色_中国国家地理,62.719,14.765,40.748
雌黄,中国美色_中国国家地理,74.943,18.118,51.345
熟褐,中国美色_中国国家地理,46.67,15.497,19.267
棕茶色,中国美色_中国国家地理,55.42,16.437,29.361
萱草黄,中国美色_中国国家地理,65.849,31.541,63.55
琉璃色,中国美色_中国国家地理,58.314,15.616,42.077
甘石粉,中国美色_中国国家地理,87.78,1.713,2.509
密陀僧,中国美色_中国国家地理,65.773,28.634,42.706
枯黄,中国美色_中国国家地理,69.442,8.618,24.895
乌金,中国美色_中国国家地理,52.778,3.914,33.107
黄栌色,中国美色_中国国家地理,64.566,20.796,44.269
玉色,中国美色_中国国家地理,66.278,-32.551,8.494
石绿,中国美色_中国国家地理,52.163,-21.751,15.347
鸭卵青,中国美色_中国国家地理,87.285,-4.637,-0.821
艾绿,中国美色_中国国家地理,77.121,-18.246,3.374
青翠,中国美色_中国国家地理,42.719,-28.851,-2.198
绿色,中国美色_中国国家地理,58.972,-45.705,42.567
蘋婆绿,中国美色_中国国家地理,55.857,-35.794,11.627
青葱,中国美色_中国国家地理,53.93,-40.08,32.614
枯绿,中国美色_中国国家地理,67.208,-3.071,24.015
黛绿,中国美色_中国国家地理,39.414,-8.425,-5.205
苍绿,中国美色_中国国家地理,37.723,-7.194,10.1
铜绿,中国美色_中国国家地理,67.675,-8.032,10.804
鹦鹉绿,中国美色_中国国家地理,45.612,-30.869,15.478
胡粉,中国美色_中国国家地理,86.604,0.345,4.004
蛤粉,中国美色_中国国家地理,87.471,0.191,3.891
立德粉,中国美色_中国国家地理,88.03,-0.207,2.572
青豆色,中国美色_中国国家地理,64.638,-8.983,13.963
荷茎绿,中国美色_中国国家地理,67.342,-15.237,13.065
嫩葱绿,中国美色_中国国家地理,58.467,-17.244,-10.525
粗孔雀绿,中国美色_中国国家地理,51.602,-30.359,-1.926
碧玉石,中国美色_中国国家地理,58.467,-17.244,-10.525
深松绿,中国美色_中国国家地理,66.205,-20.643,-7.482
蜡白,中国美色_中国国家地理,88.98,-0.819,3.949
茶色,中国美色_中国国家地理,45.874,31.911,23.37
品绿,中国美色_中国国家地理,51.004,-23.678,-16.317
相思灰,中国美色_中国国家地理,51.31,0.655,4.5
苍色,中国美色_中国国家地理,52.808,-4.176,-5.816
竹青,中国美色_中国国家地理,53.978,-12.454,17.312
绿沈,中国美色_中国国家地理,46.745,-33.577,27.338
葱倩,中国美色_中国国家地理,59.501,-44.775,40.216
松花绿,中国美色_中国国家地理,42.266,-28.353,15.182
樱草色,中国美色_中国国家地理,83.681,-11.622,53.973
水色,中国美色_中国国家地理,64.204,-11.246,-2.656
月白,中国美色_中国国家地理,90.994,-3.732,-1.602
苏勃尼青,中国美色_中国国家地理,35.399,1.277,-32.498
豆青,中国美色_中国国家地理,70.357,-26.392,44.089
天青,中国美色_中国国家地理,68.633,-24.127,-30.258
蟹青,中国美色_中国国家地理,76.069,-5.768,-0.774
青碧,中国美色_中国国家地理,64.34,-33.186,1.365
虾青,中国美色_中国国家地理,44.224,-1.137,-2.521
花青,中国美色_中国国家地理,24.936,6.029,-26.277
靛青,中国美色_中国国家地理,45.468,-10.502,-31.723
群青,中国美色_中国国家地理,28.431,2.76,-38.381
元青,中国美色_中国国家地理,27.503,0.426,8.119
绀青,中国美色_中国国家地理,24.8,5.687,-25.553
承德皂,中国美色_中国国家地理,41.795,0.004,6.799
承德灰,中国美色_中国国家地理,45.817,-0.819,3.828
沙青,中国美色_中国国家地理,37.355,-10.72,-25.38
石青,中国美色_中国国家地理,44.915,-10.197,-25.316
空青,中国美色_中国国家地理,28.334,21.146,-42.614
苍青,中国美色_中国国家地理,63.137,0.142,17.649
石蓝,中国美色_中国国家地理,70.86,-24.324,-11.97
宝蓝,中国美色_中国国家地理,33.221,17.825,-41.502
靛蓝,中国美色_中国国家地理,27.707,3.401,-26.263
藏青,中国美色_中国国家地理,32.68,3.153,-25.664
藏蓝,中国美色_中国国家地理,26.199,7.669,-24.222
涧石蓝,中国美色_中国国家地理,58.703,-22.79,-24.985
孔雀蓝,中国美色_中国国家地理,25.019,19.084,-38.556
甸子蓝,中国美色_中国国家地理,55.48,-45.265,-24.509
竹月色,中国美色_中国国家地理,89.089,-0.781,-3.917
毛月色,中国美色_中国国家地理,43.486,7.823,-39.026
柏坊灰蓝,中国美色_中国国家地理,29.245,-0.909,-21.486
黛蓝,中国美色_中国国家地理,33.795,0.999,-13.017
雪蓝,中国美色_中国国家地理,56.529,2.634,-32.29
吴须色,中国美色_中国国家地理,33.674,11.03,-43.814
