color,from,l,a,b
乳鸭黄,色谱_perchouli,83.476,5.314,83.608
葵扇黄,色谱_perchouli,87.052,-1.713,57.374
大豆黄,色谱_perchouli,84.172,2.258,76.661
金盏黄,色谱_perchouli,81.7,7.089,82.675
黄连黄,色谱_perchouli,82.21,6.196,81.408
杏仁黄,色谱_perchouli,93.482,-1.968,21.499
谷黄,色谱_perchouli,74.963,8.371,77.288
木瓜黄,色谱_perchouli,80.929,6.998,80.158
淡茧黄,色谱_perchouli,86.955,-0.348,54.505
雅梨黄,色谱_perchouli,82.928,4.768,76.162
鹦鹉冠黄,色谱_perchouli,81.451,4.741,74.393
浅铬黄,色谱_perchouli,79.941,8.999,80.311
淡蜜黄,色谱_perchouli,85.862,1.032,57.408
芥黄,色谱_perchouli,70.412,8.292,72.11
栀子黄,色谱_perchouli,75.538,9.227,76.839
篾黄,色谱_perchouli,89.058,-0.983,37.486
炒米黄,色谱_perchouli,84.173,1.693,54.418
琥珀黄,色谱_perchouli,79.733,12.612,81.392
鼬黄,色谱_perchouli,78.804,13.348,80.34
豆汁黄,色谱_perchouli,92.363,-0.584,20.964
香水玫瑰黄,色谱_perchouli,87.996,0.626,38.127
虎皮黄,色谱_perchouli,74.482,11.088,73.825
鸡蛋黄,色谱_perchouli,78.47,13.524,79.057
初熟杏黄,色谱_perchouli,79.699,9.776,72.625
山鸡黄,色谱_perchouli,60.493,7.33,56.483
甘草黄,色谱_perchouli,80.091,7.218,62.816
鹅掌黄,色谱_perchouli,79.255,12.385,74.741
麦芽糖黄,色谱_perchouli,85.865,3.284,46.946
酪黄,色谱_perchouli,89.325,1.111,27.089
橙皮黄,色谱_perchouli,73.675,24.798,77.48
莱阳梨黄,色谱_perchouli,42.742,7.55,37.408
枇杷黄,色谱_perchouli,73.678,24.814,77.248
金叶黄,色谱_perchouli,75.185,23.537,77.353
苍黄,色谱_perchouli,43.864,5.65,31.902
龟背黄,色谱_perchouli,46.618,4.049,23.017
雄黄,色谱_perchouli,72.261,30.165,77.225
蜜黄,色谱_perchouli,79.557,14.294,57.686
风帆黄,色谱_perchouli,66.207,20.19,64.153
金莺黄,色谱_perchouli,74.539,18.889,64.571
软木黄,色谱_perchouli,69.756,15.376,54.762
榴萼黄,色谱_perchouli,74.608,21.781,67.444
玳瑁黄,色谱_perchouli,71.007,11.867,45.591
万寿菊黄,色谱_perchouli,68.745,35.771,74.081
蛋壳黄,色谱_perchouli,82.239,11.589,37.32
北瓜黄,色谱_perchouli,69.168,36.067,68.258
姚黄,色谱_perchouli,86.283,-13.419,24.002
浅驼色,色谱_perchouli,79.481,2.75,39.001
中灰驼,色谱_perchouli,29.509,13.689,14.324
金驼,色谱_perchouli,58.558,44.801,56.143
玉色,色谱_perchouli,64.754,-32.426,12.905
鹦哥绿,色谱_perchouli,59.185,-42.241,6.393
三绿,色谱_perchouli,76.383,-29.347,8.388
明绿,色谱_perchouli,78.107,-21.671,11.578
石绿,色谱_perchouli,72.858,-30.952,-8.882
湖色,色谱_perchouli,73.009,-33.462,39.093
葱根绿,色谱_perchouli,59.343,-39.719,16.808
灰绿,色谱_perchouli,46.385,5.158,48.569
艾绿,色谱_perchouli,83.487,-5.947,6.866
青翠,色谱_perchouli,58.674,-48.444,23.467
橄榄绿,色谱_perchouli,35.236,-3.231,36.352
油绿,色谱_perchouli,23.196,-15.453,12.547
淡灰绿,色谱_perchouli,64.959,-4.412,39.816
新禾绿,色谱_perchouli,73.028,-1.553,72.437
潭水绿,色谱_perchouli,37.49,-2.372,32.293
碧螺春绿,色谱_perchouli,47.91,-0.601,48.085
苔绿,色谱_perchouli,49.022,-0.93,45.403
草灰绿,色谱_perchouli,53.705,-2.34,30.606
棕榈绿,色谱_perchouli,31.89,1.295,33.427
枯绿,色谱_perchouli,60.925,5.669,62.646
暗海水绿,色谱_perchouli,30.981,1.257,30.491
粽叶绿,色谱_perchouli,45.796,4.485,46.23
蜥蜴绿,色谱_perchouli,42.643,8.654,41.104
古铜绿,色谱_perchouli,27.159,5.965,23.964
焦茶绿,色谱_perchouli,27.09,7.376,25.666
蟹壳绿,色谱_perchouli,26.977,5.415,20.718
美蝶绿,色谱_perchouli,62.74,-38.949,-3.044
竹绿,色谱_perchouli,61.25,-43.557,8.234
亚丁绿,色谱_perchouli,51.257,-25.962,2.554
海王绿,色谱_perchouli,47.996,-32.971,5.918
深海绿,色谱_perchouli,22.223,-14.77,1.875
麦苗绿,色谱_perchouli,68.971,-41.258,15.999
青矾绿,色谱_perchouli,55.789,-37.245,7.251
苍绿,色谱_perchouli,23.841,-12.876,1.597
飞泉绿,色谱_perchouli,45.822,-18.414,2.377
莽丛绿,色谱_perchouli,10.231,-5.343,0.598
梧枝绿,色谱_perchouli,63.98,-24.435,3.525
铜绿,色谱_perchouli,63.735,-44.499,11.235
草原远绿,色谱_perchouli,74.056,-15.122,3.583
蛙绿,色谱_perchouli,67.186,-43.595,15.066
浪花绿,色谱_perchouli,70.223,-14.075,3.436
苷蓝绿,色谱_perchouli,14.394,-3.902,0.944
荷叶绿,色谱_perchouli,38.707,-33.445,15.989
田园绿,色谱_perchouli,68.878,-34.234,13.805
玉簪绿,色谱_perchouli,78.175,-16.6,5.829
蟾绿,色谱_perchouli,55.496,-37.922,17.081
蔻梢绿,色谱_perchouli,70.167,-40.656,17.701
薄荷绿,色谱_perchouli,46.983,-39.53,20.118
蛋白石绿,色谱_perchouli,56.816,-28.26,12.318
竹篁绿,色谱_perchouli,85.389,-16.193,6.277
孔雀绿,色谱_perchouli,54.178,-46.14,25.695
宫殿绿,色谱_perchouli,50.373,-43.32,24.015
云杉绿,色谱_perchouli,12.225,-8.287,3.47
毛绿,色谱_perchouli,71.457,-39.28,18.463
松霜绿,色谱_perchouli,65.267,-17.655,9.46
白屈菜绿,色谱_perchouli,36.735,-10.464,5.698
瓦松绿,色谱_perchouli,55.114,-15.127,8.968
槲寄生绿,色谱_perchouli,19.606,-3.81,2.313
淡翠绿,色谱_perchouli,86.479,-12.567,8.481
玉髓绿,色谱_perchouli,64.838,-53.536,44.004
鲜绿,色谱_perchouli,64.523,-53.314,45.945
宝石绿,色谱_perchouli,63.111,-53.171,47.876
嘉陵水绿,色谱_perchouli,81.336,-22.632,21.001
田螺绿,色谱_perchouli,42.212,-5.381,5.169
鹦鹉绿,色谱_perchouli,63.849,-48.01,58.148
艾背绿,色谱_perchouli,91.901,-8.381,9.677
橄榄石绿,色谱_perchouli,79.522,-21.905,32.668
芽绿,色谱_perchouli,73.296,-32.611,52.394
嫩菊绿,色谱_perchouli,95.784,-4.434,7.123
芦苇绿,色谱_perchouli,79.945,-22.143,39.883
蒽油绿,色谱_perchouli,23.299,-1.331,2.35
苹果绿,色谱_perchouli,79.616,-22.696,49.757
海沬绿,色谱_perchouli,90.36,-8.33,18.951
橄榄黄绿,色谱_perchouli,77.868,-21.394,67.404
槐花黄绿,色谱_perchouli,84.346,-16.111,45.811
月白,色谱_perchouli,96.455,-3.859,1.367
